,Model,Dataset,MMD,RepBias,MeanDiff,MAE Gap,MSE Gap,Wasserstein,JS Divergence
0,EDITS,german_e,,,32.74782,3.3630486,821.77576,33.13983950434472,0.35384416031047333
1,FMP,german_e,,,0.19467835,0.07434699,0.048968457,0.19494146751163693,0.3778705875068819
2,FairGNN,german_e,0.011615514755249023,0.0,0.008975738,0.0016713776,1.4497869e-05,0.009102334479251344,0.3757382750738585
3,FairRegGNN,german_e,0.08142709732055664,0.1378389799719635,0.006628081,0.0056162477,0.00054100924,0.009652920268662261,0.29954257700015363
4,GATRegressor,german_e,,,0.23595026,0.098849446,0.084302045,0.24556574760364658,0.2833646311758412
5,GCNRegressor,german_e,,,0.26633793,0.044036448,0.035551935,0.26633794699472474,0.2613593268707046
6,GINRegressor,german_e,,,0.13367322,0.10792285,0.26626873,0.199390390834722,0.27719537737347544
7,GMMD,german_e,,,0.10729265,0.09343529,0.09234321,0.11758052728128865,0.2950539382954918
8,GraphSAGERegressor,german_e,,,0.37449938,0.083462596,0.08605355,0.3744993808553228,0.2388022482542768
9,MLPRegressor,german_e,,,0.32691348,0.13273403,0.13865279,0.3283294438124464,0.3380504696525189
10,EDITS,german_f,,,8.9507265,1.13725,126.64137,9.825710592556671,0.4185517352394766
11,FMP,german_f,,,0.20005661,0.056905672,0.028523367,0.20111696958031777,0.3802697116916932
12,FairGNN,german_f,0.01712512969970703,0.0,0.0016355887,0.00043682614,1.5670914e-05,0.0020070284094375387,0.27917141634925624
13,FairRegGNN,german_f,0.049180686473846436,0.07263108374873319,0.005139578,0.0012044795,7.163768e-05,0.005194016877766236,0.22528038600361877
14,GATRegressor,german_f,,,0.23225635,0.08124401,0.06536453,0.2324621055442156,0.3210724519242138
15,GCNRegressor,german_f,,,0.23575005,0.0644252,0.052513197,0.2358524626609343,0.28010976485228195
16,GINRegressor,german_f,,,0.11811672,0.06611121,0.36608684,0.1812257344438305,0.40656126323430186
17,GMMD,german_f,,,0.10386038,0.030412138,0.030749202,0.10444469354886227,0.23605253802861906
18,GraphSAGERegressor,german_f,,,0.34848878,0.075430065,0.089875445,0.3506793516068123,0.30643664442183743
19,MLPRegressor,german_f,,,0.37829018,0.10242769,0.11369863,0.37951274740962526,0.28485161305264806
20,EDITS,german_g,,,34.681145,15.565178,2496.584,35.9161065948116,0.3297146717341207
