,Model,Dataset,Metric,Mean,Std
0,FMP,german_e,Error Gap,0.07088172435760498,0.0
1,FairGNN,german_e,Error Gap,0.00910233476103917,0.0
2,FairRegGNN,german_e,Error Gap,0.016754387217405263,0.0
3,GATRegressor,german_e,Error Gap,0.08405373245477676,0.0
4,GCNRegressor,german_e,Error Gap,0.037076279520988464,0.0
5,GINRegressor,german_e,Error Gap,0.11180412769317627,0.0
6,GraphSAGERegressor,german_e,Error Gap,0.08907094597816467,0.0
7,MLPRegressor,german_e,Error Gap,0.14221006631851196,0.0
8,FMP,german_f,Error Gap,0.046874821186065674,0.0
9,FairGNN,german_f,Error Gap,0.002007028848776257,0.0
10,FairRegGNN,german_f,Error Gap,0.007794219312273374,0.0
11,GATRegressor,german_f,Error Gap,0.06506224721670151,0.0
12,GCNRegressor,german_f,Error Gap,0.05422374606132507,0.0
13,GINRegressor,german_f,Error Gap,0.18122644985170036,0.0
14,GraphSAGERegressor,german_f,Error Gap,0.09272085130214691,0.0
15,MLPRegressor,german_f,Error Gap,0.11659112572669983,0.0
16,FMP,german_g,Error Gap,0.04768359661102295,0.0
17,FairGNN,german_g,Error Gap,0.016803725370694703,0.0
18,FairRegGNN,german_g,Error Gap,0.01551183724903014,0.0
19,GATRegressor,german_g,Error Gap,0.053825587034225464,0.0
20,GCNRegressor,german_g,Error Gap,0.04169899970293045,0.0
21,GINRegressor,german_g,Error Gap,0.2288116507769687,0.0
22,GraphSAGERegressor,german_g,Error Gap,0.039213627576828,0.0
23,MLPRegressor,german_g,Error Gap,0.07294237613677979,0.0
24,FMP,german_h,Error Gap,0.03808075189590454,0.0
25,FairGNN,german_h,Error Gap,0.010594124905765057,0.0
26,FairRegGNN,german_h,Error Gap,0.025893050237620938,0.0
27,GATRegressor,german_h,Error Gap,0.03477513790130615,0.0
28,GCNRegressor,german_h,Error Gap,0.06701961159706116,0.0
29,GINRegressor,german_h,Error Gap,0.1332198828458786,0.0
30,GraphSAGERegressor,german_h,Error Gap,0.06926603615283966,0.0
31,MLPRegressor,german_h,Error Gap,0.06112682819366455,0.0
32,FMP,german_s,Error Gap,0.049220383167266846,0.0
33,FairGNN,german_s,Error Gap,0.0258737420968062,0.0
34,FairRegGNN,german_s,Error Gap,0.017442470529826948,0.0
35,GATRegressor,german_s,Error Gap,0.0320470929145813,0.0
36,GCNRegressor,german_s,Error Gap,0.057708531618118286,0.0
37,GINRegressor,german_s,Error Gap,0.09889650344848633,0.0
38,GraphSAGERegressor,german_s,Error Gap,0.06855326890945435,0.0
39,MLPRegressor,german_s,Error Gap,0.11567668616771698,0.0
40,FMP,german_t,Error Gap,0.04532116651535034,0.0
41,FairGNN,german_t,Error Gap,0.008961895480751991,0.0
42,FairRegGNN,german_t,Error Gap,0.016696838020918186,0.0
43,GATRegressor,german_t,Error Gap,0.03530395030975342,0.0
44,GCNRegressor,german_t,Error Gap,0.025919854640960693,0.0
45,GINRegressor,german_t,Error Gap,0.11931222346370471,0.0
46,GraphSAGERegressor,german_t,Error Gap,0.1484004557132721,0.0
47,MLPRegressor,german_t,Error Gap,0.06725837290287018,0.0
48,FMP,nba_m,Error Gap,0.023247189819812775,0.0
49,FairGNN,nba_m,Error Gap,0.388702392578125,0.0
50,FairRegGNN,nba_m,Error Gap,0.04189181327819824,0.0
51,GATRegressor,nba_m,Error Gap,0.09390854835510254,0.0
52,GCNRegressor,nba_m,Error Gap,0.020016610622406006,0.0
53,GINRegressor,nba_m,Error Gap,0.016210734844207764,0.0
54,GraphSAGERegressor,nba_m,Error Gap,0.030263952910900116,0.0
55,MLPRegressor,nba_m,Error Gap,0.01467922329902649,0.0
56,FMP,nba_p,Error Gap,0.05232203006744385,0.0
57,FairGNN,nba_p,Error Gap,0.026457250118255615,0.0
58,FairRegGNN,nba_p,Error Gap,0.048305962319787794,0.0
59,GATRegressor,nba_p,Error Gap,0.045101940631866455,0.0
60,GCNRegressor,nba_p,Error Gap,0.09208649396896362,0.0
61,GINRegressor,nba_p,Error Gap,0.1175926923751831,0.0
62,GraphSAGERegressor,nba_p,Error Gap,0.09267503023147583,0.0
63,MLPRegressor,nba_p,Error Gap,0.02475377917289734,0.0
64,FMP,region_job_2_g,Error Gap,0.006120651960372925,0.0
65,FairGNN,region_job_2_g,Error Gap,0.4894702434539795,0.0
66,FairRegGNN,region_job_2_g,Error Gap,0.003307938575744629,0.0
67,GATRegressor,region_job_2_g,Error Gap,0.011087477207183838,0.0
68,GCNRegressor,region_job_2_g,Error Gap,0.00613558292388916,0.0
69,GINRegressor,region_job_2_g,Error Gap,0.020351827144622803,0.0
70,GraphSAGERegressor,region_job_2_g,Error Gap,0.017101041972637177,0.0
